stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0
3Month,0.73,1.04,11.34,0.1,0.42,1.04,1.46,0,37.24,1.46,0.1,9.05,0.52,3.02,2.39,0.83,0.21,0,2.08,0.42,0.42,0,0.52,0.21,0,0.31,0.94,0.1,6.03,0,0.52,0.21,1.35
22Month,0.27,0.27,3.55,0.14,0,1.23,4.37,0.27,42.09,0.68,0.82,6.29,0.55,0.68,3.01,1.09,0,1.23,0.27,0,0,0,0,0.27,0.14,0,0,0,3.01,0.41,0,0,0.14
