stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0.85,0,1.13,0,0.28,0,0,0.56,0,0,0,0,0,0
21Day,0.74,0.37,2.59,0.37,1.48,0,1.48,0,0,0,0,55.13,0,2.22,0.74,2.22,0,2.22,1.85,0,0.74,1.48,0,0.37,0,0,3.7
3Month,0,0.1,0.73,0.1,0,0.21,0,0.31,0.1,0.62,0.62,0.52,0.21,0.21,0.73,0.94,0.1,0,0,0.1,0,0.21,0.21,0.1,0.1,0.1,21.12
22Month,0,0,0.14,0,0,0.14,0.14,0,0.14,1.78,0.27,0.27,0,0.14,0.27,0.14,0,0,0,0,0,0.27,0,0.14,0,0,9.57
