stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,3.33,0,0,0,0.74,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,0.31,0.52,13.31,0.1,0.52,2.6,4.16,0,42.96,1.98,0,3.95,0.42,1.66,2.81,1.46,0.31,0,2.29,0.62,0.1,0.21,0.31,0.1,0.21,0.1,0.73,0,0.1,0.52,2.81
22Month,0,0.68,0.55,3.01,0,0,0.27,6.15,0.27,20.91,0.27,0.41,1.5,0,0.41,2.05,2.05,0,0.27,1.23,0,0.41,0.14,0,0,0.14,0,0.14,0.14,0,0.14,0.27
