stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,22,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.56,0,0,0.28,0,0,0,0,0,0,0,0.28,0,0.28,0.56,17.47,7.61,0,0,0.28,0,0,0,0.28,0,0,0
21Day,0.37,0,1.48,0,0,0.37,0,0.37,0.37,0,0.74,0,0,0.37,0,2.59,7.4,3.33,0,0.37,1.48,0.37,0,0.37,0,0,0,0
3Month,0,0,0.31,0.1,0,0,0.1,0.1,0.62,0.1,0,0.73,0,0.1,0.1,0.21,0,0,0.1,0.1,0,0,0.21,0,0,0.1,0.1,0.1
22Month,0.14,0.14,0,0,0,0,0,0,0.82,0,0,0.41,0,0,0.14,0.14,0,0.14,0.14,0.27,0,0,0,0.14,0,0.14,0,0
