stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,37,0,0,1,0,0,0,0,0,0,0
72hpf,1.69,0,1.13,0.56,0.28,0,0,0,0,0,0,0,0,0.56,9.02,0,0,0.28,2.54,2.54,0,0,3.95,0,0,3.66,0.85,0,0,0
21Day,1.11,0,3.33,0.37,1.48,0,0,0,0,0,0,0,0.37,0,8.88,0,0,0.37,1.85,2.59,0,0.37,1.85,0.74,0,1.85,0.37,0,0,0
3Month,0,0.31,2.7,0,0,0.21,0,1.25,0.21,0.1,0.42,0.31,1.87,0.31,2.08,0.21,0,0.1,0,0.1,0,0,0.1,0.52,0.31,0,0,1.35,0.31,0.1
22Month,0.27,0.14,0.41,0,0,0.27,0.27,5.47,0.14,0.41,0.27,0.14,0.27,0.41,1.09,0,0.27,0.27,0,0,0.14,0.14,0,0,0,0,0,0.14,0,0.14
