stage,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,1.85,0.37,0.37,0,0,0.37,0,0,0
3Month,0,0.1,0,0.1,0.1,2.39,0.31,1.56,0.1,3.74,0.1,0,0,0.1,0,0.21,0.1,0.52
22Month,0,0.14,0.14,0,0,3.69,1.37,0.55,0,2.6,0.27,0,0,0,0,0,0.14,0.41
