stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,4.51,0,0.28,0,0.28,0,0,0,0,0,0,0,12.68,0,0.28,1.69,0,4.23,0,0,23.96,4.79,0,0.56,1.97,0,0.28,0,0,0,0
21Day,0.37,0.37,0,8.51,0,1.11,0,0,0.37,0,0,0.37,0,1.11,0.74,2.96,0.37,0.37,2.22,0,0,0.37,0.37,6.66,0.37,0,1.11,2.22,0,0,0,0,0,0
3Month,0,0.52,0,38.28,0,0,0,0,8.32,0.42,0,2.39,0.21,0.1,0.73,0.21,0.31,0.31,0.42,0.31,0,0.31,0.21,0.1,0,0,0.1,1.14,0.31,0.1,0,0,0.1,0.83
22Month,0.27,1.09,0.27,105.63,0.14,0,0.14,0,11.89,0.41,0.68,14.21,0.68,0.27,1.09,0,0.14,0.55,1.5,0,0.55,0.14,0.27,0.27,0,0.27,0,0.82,0.27,0.14,0.55,0.14,0,0.27
