stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0.28,0,0,0,1.41,1.13,0,0,0,0,0,0,0,0
21Day,0,0,1.48,0,0.37,0,0,0,0,0.37,0.37,0,2.22,0.37,0,0,0,0,0,0.37,0,0.37,0,0,0.37,0,0,0
3Month,0.52,0.1,7.18,0.1,0,5.41,1.25,2.18,1.87,0.31,7.49,0.62,6.35,3.22,0.83,0.21,0.1,1.77,0.1,0,0.52,0.1,0.52,14.56,0,0.1,3.43,1.77
22Month,0.14,0.14,1.09,0,0,0.14,0.68,3.01,0,0.27,0.55,0,1.23,1.23,0.27,0,0,0.41,0,0,0.41,0,0,0.96,0,0.14,0,0.55
