stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0,0,0,0,0.28,0,0,0,0,0.56,0,0.85,0.56,4.79,0.56,0,0,0,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,1.11,0.37,0,0,0.37,0,0,0
3Month,0.1,0.21,0,0,8.63,0,0.21,0.1,0,0.21,0.1,0.1,0.1,0,0,0,0.1,0,0.1,1.25,0.21
22Month,0,0.41,0.14,0.14,6.29,0,0.14,0.14,0.14,0.41,0,0.14,0,0,0.14,0.14,0,0,0.14,0.27,0
