stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,3,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,6,0,0,233,0,0,0,0,0,0,0
72hpf,1.13,0.28,0.56,0.56,1.41,0,0,0,0,0,0,0,0,0,10.99,0,1.41,0,6.48,64.54,0,0.85,0,0,2.54,0,0
21Day,0.37,0,3.33,0.74,0,0,0,0,0,0,0,0,0,0,8.14,0,0.74,0,0.37,4.81,0,0,0.37,0.37,0,0,0
3Month,0.1,0,1.14,0.1,0,0,0.21,0.31,0,0,0.94,0.1,0.21,0.1,3.22,0.42,0.31,0,0.1,0.1,0.21,0,0.21,3.33,0,0.94,0.1
22Month,0,0.27,1.37,0,0,0.14,0.41,0.27,0.27,0,3.69,0,0.41,0,3.96,0.68,0.82,0.41,0.27,0.14,0.41,0,0,4.24,0.14,0,0.14
