stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,4,0,0,0,0
72hpf,0.28,0,0.85,0,0,0,0,0.28,0,0,1.97,0.28,0,2.25,1.69,0.28,1.13,0,0,0
21Day,0,0,0,0,0,0.37,0,0,0.74,0.37,1.85,0,0,1.11,0.37,0.37,0.74,0,0.37,0.37
3Month,0,0.1,0,0.21,0.52,0.1,0,0.1,0,0,0.21,0,0.1,0,0,0,0,0.1,0,0
22Month,0,0,0,0,0.68,0,0.14,0,0,0,0,0,0,0,0,0,0,0.96,0,0
