stage,Epithelial_cell,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0.28,0,3.38,0,0,0,0,0.56,0,3.66,0,0
21Day,0.37,0,0,0,0.37,0,0,0,0,0.37,0,0
3Month,0.31,0.31,0.21,0.1,0.31,0.62,0,0,4.16,0,0.1,0.1
22Month,0,0,0,0,0,0,0.14,0,2.19,0.14,0,0
