stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0
72hpf,0.28,0,0.28,0.28,0,0,0,0,0,0.28,0.28,0,0.28,0,1.41,0.85,0,20.86,0,0
21Day,0,0,0,0,0.37,0,0,0.37,0,0,0,0,0,0,3.33,0,0,0,0,0.37
3Month,0,0.1,0,0,0,0,1.77,0.1,0,0,0,0,0,0,0,0,0,0,0,0.21
22Month,0,0,0.14,0,0,0.14,4.65,0,0.14,0,0.27,0.41,0.14,0.14,0,0,0.14,0,0.14,0.14
