stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,5,0,0,0,0,0,0,0,0,0,1,1,8,0,3,117,0,4,0,0,0,1,0,0
72hpf,1.13,0.28,0.28,0.28,0.56,0,0,0,0,0,0,0.28,1.13,0,3.1,0,4.23,4.79,0,0.56,0,0,0.56,0.56,0,0
21Day,1.85,0.37,0.37,0,0.37,0,0.37,0,0,0.37,0,0,0,0,3.33,0,0.37,3.33,0,0.74,0,0,0.37,0,0,0
3Month,0,0,0.52,0,0,0.1,0,0,0,0,0.1,0.1,0,0,0,0.1,0.1,0,0.1,0,0.1,0.62,0,0,0.1,0.1
22Month,0,0.14,0,0,0,0,0,0.14,1.64,0.14,0.27,0,0.14,0.14,0.55,0,0,0,0,0,0,1.37,0,0,0,0
