stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.28,0,0,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0.74,0,0,0,0,0,0,1.11,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.52,0.1,0.1,0,28.81,0.31,0,1.98,0.52,0.62,0.31,0.52,0,0.31,0.21,0,0,0,0,0.83,0.42,0.1,0,0.1,0.1,0.31,0.1
22Month,0.14,0.68,0.14,0.27,0.14,30.2,0.41,0.27,2.05,0,0,0.27,0.27,1.37,0,0.14,0.14,0.27,0.14,0,0.14,0.14,0.27,0.14,0,0.14,0,0.14
