stage,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0.56,0.56,0,0,0,0,0,0.56,0.28,0,0,0,0,0
21Day,0,2.96,0.37,0,0,0,0,0.37,0.37,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.1,5.2,0,0.1,0.21,1.04,0.31,0.21,0.1,0.21,1.66,0.1,0.21,0.21,0.1,0.1,0,0,0,0.1,0.62,1.87,1.87
22Month,0,1.37,0,0.14,0.68,0.96,0.14,0,0.14,0.14,0.27,0.27,0.27,0,0,0,0,0,0.27,0,0,0,0.14
