stage,Enterocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell
24hpf,0,0,0,0,2,0,0
72hpf,0,0.28,0,0,1.13,0,0
21Day,0,0.37,0,0,1.48,0,0
22Month,0.14,0,0.14,1.5,0,0.14,0.14
