stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,0,0,0,0,2,0
72hpf,0,0,0,0.56,0,0.56,0.28,0.56,0.28
21Day,0.37,0,0,0.74,0.37,0,0,0,0
3Month,0.31,0.83,0,0.1,0.1,0,0.1,0,0
22Month,0.27,1.09,0.14,0,0,0,0,0,0
