stage,Endothelial_cell,Enterocyte,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0.56,0.28,0
21Day,0,0,0,0,0,0.74,0
3Month,0,0,0,0,0,0,0.42
22Month,0.14,0.14,0.14,0.14,0,5.33,0
