stage,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oocyte,Pancreatic_cell,T_cell
24hpf,0,0,0,0,0,0,0,3,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,0,1.48,0,0,0,0,0,0,0,0.74
3Month,0.21,2.18,0.52,0.83,0.31,0.1,0.1,1.46,0,0.1,0,0.21,1.46
22Month,0,0.27,1.23,0,0.14,0.14,0,0.14,0.14,0,0.14,0,0.41
