stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,2,34,0,0,1,0,0,0,0,0,0,0,0
72hpf,1.13,0.28,0,1.13,0.28,0.28,0,0,0,0,0,0,0,0,0.56,0,0,3.38,0,0,0,32.13,3.38,0,0,3.1,0,1.41,0,0,0.85,0,0,0
21Day,1.85,0,0,1.11,0.74,0.37,0,0,0,0,0,0.37,0,0,0,0.74,0,10.73,0,0,1.11,14.8,1.48,0.37,0,2.96,0,0.74,0.37,0.74,0.37,0,0,0
3Month,0,0,0.1,0.62,0,0,0.1,0.42,0.31,0,1.14,0.42,0,0.31,0,0.1,0.73,1.46,0.42,0,0,0.42,0,0,0.1,0.1,0.42,0,0,0,0,0.1,0.62,0.31
22Month,0,0.68,0.14,0.82,0,0,0.14,0.41,0.68,0.68,7.52,0.41,0.27,0.68,0,0,1.37,2.19,0,0.14,0.14,0.14,0,0.14,0,0.14,0,0.14,0,0,0,0,0,0
