stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Muscle_cell,Neurosecretory_cell,Pancreatic_cell
3Month,0,0,0.1,4.06,0.1,0.1,0.42,0,0,0.31
22Month,0.14,0.14,0,5.6,0,0,0,0.14,0.14,0
