stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0.28,0,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0,0,0,0.37,0,0.37,0,0
3Month,0.42,0.21,2.6,0.1,0,0.1,0.1,0.73,0,7.07,1.04,0.1,3.74,0.31,0.83,0.31,2.6,0.94,0.42,0.21,0,0.21,1.14,7.49,0.31
22Month,0.14,0.14,0.68,0,0.14,0,0,0.41,0.14,5.6,0,0,0.68,0,0.14,0.41,2.19,0,0,0,0,0,0,0,0
