stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0,0,0,0,0,0,0.56,0.85,0,0,0,0.28,0,0,0,0,0,0,0
21Day,0,0.37,2.59,0.37,0,0,0,0,0,0,0,1.11,0.74,0.37,1.48,1.48,1.11,0,0,0,0,1.48,0.37,0,0,0,0,0,0,0,0,0,0,1.11
3Month,1.04,1.98,34.12,0,0.52,0.21,15.91,5.2,0,24.55,10.51,1.14,26,1.04,6.24,18.2,1.98,0.31,0.1,3.12,1.66,0.94,0,0.62,0.31,0,0.1,0.62,2.6,0.1,0,0.94,1.46,10.61
22Month,1.09,2.46,9.98,0,0.14,0.27,8.2,6.56,0.68,27.47,6.15,1.5,43.59,0.55,1.37,10.66,0.41,0,0.27,0.96,0,0.14,0.27,0.41,0.14,0.27,0.14,0.41,7.38,0.27,0.14,0.27,0,4.78
