stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,25,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,4.51,0.56,0,0.56,0,0.28,0,0,0,0,0
21Day,0.37,0,0.74,0,0,0,0,0,0,0,0.37,0,0,0.37,0.74,0.37,0,0,7.03,0,0.37,0,0,0.37,0,0.37,0,0,0.37
3Month,0,0,0.52,0,0,0.1,1.77,0,1.04,0.31,0.31,0,0,0.1,0.42,0.31,0.1,0.1,0,0,0,0,0.42,0,0.1,0,0.21,0.1,0.94
22Month,0,0.27,0,0,0.14,0.14,4.65,0.14,3.01,0,0.82,0.14,0,0,1.64,0,0,0,0,0,0.14,0,0,0,0,0,0,0,0.55
