stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,7.61,1.13,0.28,0.28,0,0.28,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,1.11,0,0,0,0,1.85,0.74,0,0.37,0,0,0.74,0,0
3Month,0,0.1,0.73,0.1,0.31,0,1.14,0.31,0,0.21,0.52,0.31,0.1,0.1,0.1,0.1,0,0,0.21,0,0.21,0,0,0.1,0.21
22Month,0.41,0.14,0.14,0,1.23,0.27,6.7,0.41,0.14,0.68,0,0.27,0.82,0,0.14,0,0.14,0,0.41,0.14,0.82,0.14,0,0,0
