stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.56,0.28,0,0,0,0.28,0,0,0,0,0,0.28,3.95,0,0,0,0,0,8.17,0.85,0.56,0,0,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,5.18,1.48,0,0.37,0,0.37,0,0.37,0,0,7.4,0,1.11,0,0.37,0,0,1.48,2.22,1.48,0,0,0,0.74,0,0,0.37,0,0.37,1.48,0,0,0
3Month,0.1,0.73,4.06,13.21,0,0.73,0,2.29,3.74,0,7.7,2.5,0.31,178.39,1.04,3.02,15.08,3.02,0.42,0,0.52,137.2,0.21,0,0.42,0.21,0.21,1.87,0.1,3.74,0.31,0,0.1,0.62,1.04,1.46
22Month,0,0.55,0.41,2.6,0,0,0.14,0.68,3.69,0.41,14.62,0.68,0.27,111.64,0,0.27,21.04,0.96,0,0.27,0.14,12.98,0,0,0.41,0.14,0,0.27,0,6.29,0,0,0,0,0,0.27
