stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,3.38,0.28,0,0,0,0,0,0,0,0,0,0,0.56,0.28,0.56,0,0,0,0.85,0.56,0,0.28,0,1.41,0,0,0,0,0
21Day,0,0.37,0,1.85,5.18,0.37,0,0,0,0,0,0,0,0,0,0,1.48,0.37,0,0,0,0,0.37,0.37,0,0,0,0,0,0,0,0,0.37
3Month,0,0.21,0.21,3.22,0.83,0,0.1,0,0.94,0.31,0,9.78,1.14,0.21,1.77,0.21,0.83,1.14,1.46,0.21,0,0.31,0.1,0.1,0.1,0.1,0,0.1,0.42,1.56,0.1,0.62,0.83
22Month,0.14,0.14,0,2.05,0.14,0,0.14,0.14,0.27,2.05,1.5,36.62,1.37,0.82,1.64,0,0.55,2.19,2.05,0,0.68,0.41,0.14,0.14,0.41,0.41,38.26,0.14,0.14,1.23,0,0,0.41
