stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,1.41,0,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0,0.74,0.37,0.37,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0.37,0.37,0,0,0.37,0,2.22,0,0,0,0
3Month,0.1,0.1,0.31,2.18,0,0,0.52,0.62,3.54,1.25,0.21,1.25,0.1,1.14,0.73,0.73,0.21,0.1,0.73,0.62,0.21,0,0.21,0,0,0.73,103.91,0.1,0.42,98.19,0.62
22Month,0,0,0,0.55,0,0,0,0.41,2.05,0,0,0.14,0,0,0.27,0.27,0,0,0,0,0,0,0,0.41,0,0,14.07,0,0,0.14,0
