stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,7,0,0,0,0,0,0,0,0,6,0,0,0,1,4,0,0,0,0,0,0,0
72hpf,0.28,4.23,0.28,0,0,0,0,0,0,0.28,27.06,0,0.56,0,4.51,0.85,0,0,0,0,0,0,0
21Day,1.11,16.28,0,0,0,0.37,0,0,0,0.74,20.35,0.37,0.74,0,3.7,0.37,0,0,0.74,0.74,0.37,0,0
3Month,0,3.22,0,0.1,0.94,0.42,0.1,0.1,0.73,0,3.12,0.31,0.1,0.73,0.21,0,1.66,0.21,0,0,0,0.1,0.1
22Month,0,0,0,0,0.55,0.14,0,0,0.82,0,0,0,0,0,0.14,0,0.14,0.27,0,0,0,0,0
