stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,1,1,0,4,0,1,0,0,0,0,0,1,0,0,0,0,1,3,2,6,0,0,0,0,4,34,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0.56,1.13,0,1.13,0.28,2.82,0,0,0,0,0,0,0,0,0,0,0.56,7.61,0.28,3.1,0,0,0,0,14.94,5.36,0,0.56,0,1.41,0.56,0,0,1.69,0.56,0,0,0
21Day,2.22,0,0.37,5.55,0.37,4.07,0.74,0,0,0,0,0,0.37,0,0,0.74,1.11,3.33,0.74,2.96,0,0,0.74,0,4.81,1.85,0.37,0.37,0,2.22,0.37,0,0.74,0.74,0,0,0,0.37
3Month,0.31,0.62,0,7.07,0,0,0.1,0.1,0.1,0.94,0,0,11.86,1.25,0.42,2.18,0.42,2.29,1.46,1.77,0.52,0,0.31,0.42,0,0,0.1,0.52,0,0,0.21,0.1,1.56,0.31,0,0.62,0.21,1.35
22Month,0.14,0.27,0,1.5,0,0,0,0,0.41,2.46,0.41,0,15.03,0.68,0.41,2.19,0,0.27,1.23,1.64,0.14,0.41,0.27,0,0,0,0.14,0.41,0.14,0,0.14,0,0.14,0,0,0.14,0,0.27
