stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,1.13,0,0.56,0,64.83,2.25,0,0.28,1.13,0,0.56,0,0,0
21Day,0,0,0.37,0.37,0,0.37,0,0,0,0,0,0,0.37,0.37,0.37,0,16.65,1.85,0,0.37,0.37,0,0.74,0.37,0.74,0
3Month,0,0,0.94,0,0,0,0.1,0,0.62,0,0,0.62,0.31,0,0.31,0,0.42,0,0.1,0,0,0.94,0,0,0,0.21
22Month,0,0.14,0.41,0,0.14,0,0.55,0.14,4.37,0.27,0.14,0.14,0,0.27,0.82,0.27,0.14,0,0.27,0,0,0.27,0,0,0,0
