stage,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Neural_cell,Osteoblast,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0.28,1.97,0.28,0,0
21Day,0,0,0,0,0,0.74,0,0,0
3Month,0.21,0.1,0,0.1,0,0,0,0.1,0.1
22Month,0,0.14,0.41,0,0,0,0,0,0.14
