stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Osteoblast,Pancreatic_cell
24hpf,0,0,4,0,0,0,0,0,0
72hpf,0.28,0,4.51,0,0,0.85,0,0.28,0
21Day,0,0,2.96,0,0,0,0,0,0.37
3Month,0,0.21,0.1,0.1,0.1,0.21,0.1,0,0
22Month,0,0.55,0.55,0.14,0,0,0,0,0
