stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.56,0,2.82,0.85,0.28,0,0.28,0,0
21Day,0,0.37,0,1.48,0.37,0,0,0,0,0,0,0.37,0,1.48,0,1.48,0.37,0,0,0,0,0.37
3Month,0.1,0,0.1,0.62,0,0.1,0,0,0.1,0,0,0,0.31,0.21,0.1,0,0,0.1,0.73,0,0,0.42
22Month,0,0,0,0.14,0,0,0.27,0.27,2.46,0.27,0,0,0.14,0,0,0,0,0,0.41,0,0.14,0
