stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,12,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.85,0,0,0,0,0,0,0,0,0.28,0.85,0,0.85,0,0.56,0.85,1.13,0,0,0,0,0,0.28,0,0,0
21Day,0,0,0.37,1.48,0,0.37,0,0,1.11,0,0.74,0,0,0.74,0,1.85,0,0,0.74,0.37,1.48,0.74,0,0,0.74,0,0,0,0.37
3Month,0,0,0.1,2.39,0.1,0.1,0.31,0,29.23,0,0.21,0.31,0.31,0.62,0.21,0.42,0.21,0.31,0.1,0,0,0.73,0.1,0,0,0,0.1,0.1,0.52
22Month,0.14,0.41,0,0.96,0,0,0.41,0.41,34.98,0.27,0.14,1.78,0,0.14,0.68,0.82,0.27,6.56,0,0,0,0,0.14,0.14,0,0,0,0,0.27
