stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,1,0,0,0,0,1,1,0,5,0,0
72hpf,0,0,0,0.28,0,0,0.85,0.85,1.97,0.56,0.28
21Day,0.37,0,0.74,0,0.74,0.37,0.74,0,0.37,1.48,0
22Month,0,0.27,0.14,0,0,0,0,0,0,0,0
