stage,Epithelial_cell,Erythrocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0,18.88,0.28,0.56,0.28,0,0,0.56,0,0
21Day,4.81,0,0,0,3.7,0.37,0,0,0.37,0,0,0,0
3Month,1.77,0,0.1,0.1,0,0,0,0,0,0.21,0,0.1,0.1
