stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,1,0
72hpf,0,0,0,0,0,0.56,0.28,0.28,0,0
21Day,0,0,0,0,0,0.74,0.37,0,0,0
3Month,0.1,0.1,0.1,0.31,0.1,0,0,0,0,0.21
