stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,3,0,0,0,0,0,0,0,0,10,0,0,0,25,0,0,0,0,0
72hpf,5.36,0.28,0.56,0,0,0,0,0.28,0,12.4,0,1.41,2.25,3.66,7.05,0,0,0.85,0
21Day,3.33,0.37,0.37,0,0,0.37,0,0.74,0,23.68,0,1.11,0.74,1.48,3.33,0.74,0,0,0.37
3Month,0,0,0,0,0.1,0,0.1,0,0.1,0.52,0.1,0.21,0.1,0,0,0.1,0,0,0
22Month,0,0,0,0.27,0.82,0.14,0,0,0,0.27,0,0,0,0,0,0,0.14,0,0
