stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
72hpf,0,0,1.41,0,0,0,0,0,0,0.28,0,0.28,0,0.28,0.56,0.85,0,0,0,0,0
21Day,0.37,0,9.99,0,1.48,0,0,0.37,0,0.37,0,0,2.22,0.74,0,1.85,0,0,0,0,0
3Month,0,0.1,3.02,0.1,5.1,0.62,0.21,0,0.52,0.1,0,0,5.93,0,0,1.98,0.1,0.21,0.1,0.21,0.1
22Month,0,0,0.68,0,0.27,0,0,0,0.14,0.14,0.14,0,0.55,0,0,0.14,0,0,0,0,0
