stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,0,1,13,0,1,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0.28,1.13,0,0.28,0,0,0,0.56,0,0.28,0,0
21Day,0,1.48,0.37,0,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0.37,0,0.37,0,0.74,7.77,0.37,0,0
3Month,0,0.52,0,0,0.1,0,0,0.42,0.21,0.1,0.52,0,0,0,0.1,0,0.1,0,0,0.1,0,0.1,7.7,0,0,0,0,2.91,0.21
22Month,0,0.14,0,0,0.14,0.14,0,1.5,0,0.14,0.27,0,0,0.27,0,0,0,0,0,0.14,0,0,1.5,0.14,0,0,0,0,0
