stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0,0,0,0.37
3Month,8.63,0,0,0.42,1.98,0,0.42,1.25,0.1,0.1,0.31,3.43,6.55,0.42,0.1,0,0.31,0.1,0.31,0.1,0
22Month,2.6,0.14,0,1.09,0.68,0.14,1.78,0.41,0.41,3.14,0,0.55,4.51,0.14,0,0,0.27,0,0.14,0,0.41
