stage,Endothelial_cell,Enterocyte,Epithelial_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0.56,0,0,0,0,0,0.28,0,0,0,0,0.56,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0.42,0,0.21,0,0,0.52,0.21,0,0.1,0,0.1,0.21,0,0,0,0.1,0,0,0,0,0,0,0.42,0.31,0,0,0.1,0.21
22Month,0.27,0.14,1.09,0.14,0.14,1.23,0.41,13.12,0.68,0.41,1.37,0,0,0.82,1.09,0.41,0.14,0,0.14,0,0.27,0.27,21.86,0,0,0.14,0.14,0.14,0,0.27
