stage,Endothelial_cell,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neurosecretory_cell,Oocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0,0
3Month,0.1,0,0,0,0,0,0,0.21,0,0,0,0,0,0,0,0,0,1.87,0,0.21,0
22Month,0.82,0.41,0.14,0.41,6.15,0.14,0.27,0.55,0.14,0.41,0.14,0.14,0.27,0.14,0.27,0.14,0,0.14,0.14,0,0.41
