stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,8,0,1,0,0,0,0,0
72hpf,0.56,0.28,0,0,0,0,0,0,0,0,0,0,0,0.28,0,1.13,0,0,1.13,1.13,0,11.27,0,0,0.28,0.28,0
21Day,0.37,0.74,0.74,0.37,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,0.37,0.37,1.85,0,4.81,0.37,0.37,0,0,0
3Month,0,0.42,0.73,0,0,0.1,0.1,0.1,1.35,0.21,0.21,0.94,0,0.1,0.42,1.14,0.1,0,0,0,0.31,0.21,0.21,13,0,0,1.35
22Month,0,0.41,0.14,0,0.14,0.14,0.27,0,0.82,0,0.41,0.68,0,0,0.27,0,0,0,0.14,0.14,0,0,0,4.1,0,0,0
