stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,1,3,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,2.25,1.13,0,0,0.56,0,0
21Day,0,0,0,0,0,2.22,0.37,0.37,0,0.37,0.74,0.37
3Month,0,0,0,0.1,0.1,0.1,0,0,0.21,0,0,0
22Month,0.14,0,0,0.41,0,0,0,0,0,0,0,0
