stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0.56,1.13,0,0,0.28,12.4,0,0.28,0,0,0.28,0
21Day,0.74,0,0,0,0,0,0,0,0,0,1.11,0,0,0,3.7,0.37,0,0,0.37,0,0
3Month,0,0,0.62,0,0.1,0.62,0.1,0.1,0.1,0.1,0,0.1,0,0,0.42,0,0,0.52,0,0,0.1
22Month,0.14,0.14,0,0,0.68,2.87,0,0,0,0.68,0,0,0.27,0.14,0.55,0,0,0.14,0,0,0
