stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,3,0,0,24,3,0,0,0,0,2,0,0,0,0,7,0,2,7,0,0,0,1,10,27,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0.56,0.28,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0,0,3.66,3.66,0,0,0,0.56,0,0.28,0,0,0
21Day,0,0,0,2.96,0.74,0,0,0,0,0,0,0,0,0,0.37,0,0.37,0,0,0,0.37,0,0.37,0,0,0,0,0,0.37,0.37,0.37,0,0
3Month,0,0,0,2.39,0,0,0,0,0,0,0.42,0,0,0,0.1,0.31,0,0.21,0,0,0.21,0,0,0,0,0.1,0,0,0.31,0,0,0.1,0
22Month,0,1.5,0.82,3.28,0,0.27,0.68,2.87,2.6,0,18.45,1.64,0.27,1.23,0.14,0.82,0.55,3.28,0.14,0.82,0.68,0.14,0.41,0,0.14,0.14,51.65,0,4.65,0.14,0,0,0.41
