stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,5,4,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,2,12,44,0,0,0,0,16,289,0,0,0,4,0,0,0,1,0,0,1,0,0,0
72hpf,11.56,7.33,0,16.91,3.95,9.3,0,0.85,0,0,0.56,0,0,0,3.38,0,9.58,25.65,4.51,49.61,0,1.41,1.13,0.56,268.32,181.51,1.13,2.54,0,48.48,1.97,0,0.85,17.76,4.23,2.82,4.79,0,0,0
21Day,16.65,3.7,1.11,62.9,1.85,19.61,0,15.17,0,1.85,3.7,0,4.81,1.85,30.34,2.22,4.44,35.89,15.91,88.8,0.37,0,10.73,0,99.53,69.19,2.59,1.11,0,38.85,9.25,0,1.11,12.21,2.59,6.29,1.85,0,0,12.58
3Month,0.94,8.01,2.29,86.13,0.83,0,2.29,2.7,0.31,15.39,25.69,0.31,305.39,34.64,7.39,44.52,10.71,25.38,27.04,39.42,9.05,0.31,8.01,11.75,5.62,2.18,6.14,4.16,0,3.43,5.41,0.42,165.18,1.25,0.21,0,0.52,11.96,29.33,30.69
22Month,0.41,9.98,2.19,25.55,0.27,0,3.01,2.19,0,7.24,33.21,22.55,317.71,22.96,13.53,32.93,3.28,4.92,29.38,36.49,1.23,6.15,7.52,0.41,3.42,0.41,6.29,5.6,1.09,1.64,0.55,0,28.97,1.64,2.46,0,0.41,0.96,0.41,14.62
