stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.56,0.28,0,0,0.28,0,0,0
21Day,0,0,0.37,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,0,1.11,0,0,0,0,0,0
3Month,0.1,1.14,0,0.42,0.42,0,1.46,0.21,0.52,0.1,0.73,0.31,0.42,0.1,0.1,0.1,0,0.1,0,1.35,0,0.1,0.31,0.21
22Month,0,0.14,0,0,0,0.14,1.5,0,0,0,0.14,0,0.27,0,0,0,0,0,0.14,0.14,0,0,0,0
