stage,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0,0,0.28,0,0.28,0,0.28,0,0,0,0,0,0
21Day,0,1.48,0,0,0,0,0,0.37,0,0,0,0,0.74,0.74,0,0,0,0,0,0.37,0,0,0,0,0.37,0,0
3Month,0,1.98,0,0,0,0,0,5.82,0.1,0,0.73,0.21,0,0.31,0.42,0.31,0.1,0,0,0,0,0,0,0,0.31,0.42,0.1
22Month,0.27,0.96,0.14,0.27,0.55,0.55,0,7.93,0.14,0.14,1.5,0,0,0.27,0.68,0,0.14,0.14,0,0,0,0.27,0.14,3.96,0,0.27,0.14
