stage,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,T_cell
72hpf,0,0.28,0.28,0,1.13,0.28,0.85,0.28,1.41,0.28,0,0,0
21Day,0.37,0,6.29,0,0.37,0.37,1.11,0.37,0.74,0.37,1.11,0.37,0.37
3Month,0,0,0.94,0,0,0,0,0,0,0,0,0,0
22Month,0.14,0,3.55,0.14,0.14,0,0,0.14,0,0,0,0,0
