stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Fibroblast,Hepatocyte,Ionocyte,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,2,0,0,0,0
72hpf,0.56,0,0,0,0,0,0.56,0,0,0,0.56,0
21Day,0,0,0.37,0,0,0,0,0,0.37,0,0,0
3Month,0,0,0.1,0,0.1,0.1,0,0,0,0.31,0,0.52
22Month,0,0.14,0,0.14,0,0,0,0,0,0.27,0,0
