stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0.28,0.85,0,0,0,8.17,0,0,0,0.56,0,0,0
21Day,0,0,0.74,0,0,0,0,0,0.74,0,0,0.37,0.37,0.37,0,0,0,3.7,0,0,0,0,0,0,0.37
3Month,0,0.1,0.62,0,0,0.21,4.26,1.66,24.96,0.83,0.1,0.52,1.04,0.21,0,0.1,0.1,0,0,0.21,0.73,0,0.1,4.26,0.1
22Month,0,0,0,0,0.14,0,6.7,1.37,10.11,0.27,0,0,1.64,0.14,0.14,0,0,0,0,0,0.14,0,0,0.14,0
