stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0,0,0.85,0,0.56,0,0,0,0,2.82,2.25,0,0,0,0.28,0,0,0.28,0,0,0
21Day,0.37,0,0,0.74,0,0.37,0,0,0,0,0,0,0,0,0,0,0.74,0.74,0,0.37,0,0,0,0,0.74,0.37,0,0,0,0,0.37,0,0,0,0,0.37
3Month,0,0.21,0,3.43,0.1,0,0.1,0,0,0.21,0.62,0,9.15,2.39,0.1,1.87,0.1,1.98,1.04,1.35,0.21,0,0.31,0.1,0.1,0,0.1,0.1,0,0.1,0.62,0.94,0,0.21,0.21,1.35
22Month,0,0.27,0.41,1.09,0,0,0.14,0,0.14,0.27,1.78,0.41,18.72,1.23,0.41,1.91,0.14,0,1.64,0.82,0,0.68,0.14,0,0,0,0.27,0,0.14,0,0,0.14,0,0,0,0.27
