stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0
72hpf,0,0,0.56,0,0,0,0,0,0,0,0.28,0,0,0,0,0,1.13,0.85,0,0,0,0,0
21Day,0,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,1.11,0.37,0,0,0.37,0,0
3Month,0.1,0.1,1.98,0,0.31,0.31,0,1.46,0.21,0.73,0.42,0.1,0.31,0.1,0,2.81,0.42,0,0.1,0.31,2.18,15.39,0.1
22Month,0.14,0,1.23,0,0.27,0,0.41,3.42,0.27,0.27,0.14,0,0.14,0.27,0.14,0,0.14,0,0,0,0.96,0,0
