stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,0.28,0.85,0,0,0,0,2.25,0.28,0.56,0,0,0.28,0,0.28,0,0,0
21Day,0,0,0,0,0.37,0,0,0,0,0,0.74,0,0,0,0.74,2.59,0,0,0,0,1.48,0.37,0,0.37,0.37,1.48,0.37,0.37,0,0,0
3Month,0.31,0,1.14,0,0,0.21,1.25,0,1.25,1.46,0.42,0.73,0.1,1.04,1.46,11.75,1.04,0,0.1,0.1,0,0,2.08,0,0.1,16.95,0.1,0,0.21,12.27,0.21
22Month,0.27,0.14,0.96,0.14,0,0,1.5,0.14,4.92,1.23,3.14,0.55,0.14,0.14,3.28,11.62,1.09,0.68,0.27,0,0.27,0,1.37,0,0.14,4.24,0.14,0,0.14,0.14,0.14
