stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0,0.28,0,14.09,0,0,0,0,0,0,0,0,0,0,20.29,0.28,0.85,0,0,0,6.76,1.97,0,1.13,0,0,0,0,0
21Day,0,0,0,11.84,0.37,0,0,0,0,0,0,0,0,0,15.17,0.37,4.81,0,0,0,2.22,0.74,0,3.33,0.37,0,0,0,0
3Month,0,0,0,1.35,0,0.21,0,1.14,0,1.56,0.21,0.21,0.73,0.1,1.14,0.21,0.21,0,0,0.1,0,0,0,0,0,0.62,0.1,0.1,0
22Month,0.14,0.96,0.14,2.05,0,0,0.14,2.46,1.09,15.3,0,0.55,2.87,0.14,0.14,1.09,1.09,0.14,0.96,0,0,0,0.14,0,0,3.55,0.27,0,0.14
