stage,Epithelial_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0
21Day,2.96,0,0,1.85,0,0,0,0,0.37,0,0,0,0,0
3Month,4.26,0.1,0.31,0.94,0.21,1.25,0.62,0.73,0.1,0.21,0,0.1,0.1,0.1
22Month,0,0,0,0,0,0.14,0,0.27,0,0,0,0,0,0
