stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,2,6,0,0,0,0,1,33,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0,0,0.28,0,0,0,0,0,0,0,0,0,1.41,0.28,1.41,0,0.28,0,0,3.95,2.54,0.28,1.13,0,0,0.28,0,0,0
21Day,0.37,0,0,1.85,0,0.37,0,0.74,0,0,0.74,0,0,0,0,0.37,0,1.48,0,0,0,0,0.74,2.59,0,1.11,1.11,0,0,0,0,0.74
3Month,0,0.31,0.1,4.26,0,0,0.21,0.1,0.31,0.73,11.03,1.04,0.1,1.77,0.21,1.46,1.56,1.25,0.52,0,0.21,0.62,0.1,0,0.1,0,0.42,3.12,0.1,0.1,1.25,1.35
22Month,0,0.14,0,0.41,0,0,0,0.14,0,0.55,7.65,0.41,0.41,0.14,0,0,0.68,0.96,0,0.14,0.14,0,0,0,0,0,0,0.27,0,0,0.14,0.41
