stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0.56,3.95,0.28,1.41,0,0.56,0.28,0,1.41,0.56,0,0,1.41,0,0,0,0.28,0,0,0,0
21Day,0,0,0,2.96,0,0.74,0,0,0,0,0,2.22,0.37,0,0,0.37,2.96,0,3.33,0,0,0.74,0,0.74,1.48,0,0,2.59,0.37,0,0,0,0,0,0,0.74
3Month,0,0,0.21,12.9,0,0,0,4.89,0.83,0,0,13.94,6.14,0.42,7.18,2.29,3.22,2.29,1.56,0.31,0.21,1.66,0.21,0.52,0,0.31,0.1,0,0.21,0.1,2.7,0.1,0,0.21,0.1,0.21
22Month,0.14,0.41,1.23,3.55,0.14,0,0.27,2.46,2.87,2.46,0,110.55,2.87,0.27,11.62,0.82,0.27,3.55,2.05,0,1.5,0.82,0,0,0,0.41,0,0,0.14,0,0.96,0.14,0.27,0,0,0.27
