stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,1,0,57,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0.56,0.28,0.28,10.43,5.07,0.28,1.13,0,2.54,0,0
21Day,0,0.74,0.37,0,0,0,0.74,3.7,2.22,0.37,0.37,0.37,1.85,0.37,0.37
