stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,8,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,1,0,41,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,1.97,2.82,0,0,0,0,0,0,0,0,0,0.85,1.13,0,7.33,0,0,0.28,1.13,1.69,4.79,0,0,3.66,0,0.28,0,0.28,0.28,0,0,0
21Day,1.11,0,0,7.77,1.85,0,0,0,0,0,0.37,0,0.37,0.74,0,2.22,0.37,9.99,0,0,1.11,0,2.22,2.22,0,0,4.44,0.37,1.11,0.37,0,0.37,0,0,0
3Month,0,0.31,0.52,18.93,0.31,0.1,0,1.35,0.52,0,3.95,0.62,0,1.56,3.85,1.04,0.31,1.98,0.31,0,1.25,1.56,2.08,0,0.52,0,0.21,0.52,33.6,0.21,0,0.21,0.31,105.58,0.21
22Month,0,0.96,0.68,14.76,0,0,0.14,0.41,0.14,0.68,12.16,0.27,0.14,2.46,0.82,0.14,1.09,3.69,0,0.41,0.82,0.14,0.27,0,1.09,0.14,0,0.27,12.44,0,0,0.14,0.14,0.55,0.14
